sid,session_code,mk_session,prolific_id,participant_code,round_nb,player,dyad,manipulation,condition,difficulty,confidence_1,confidence_2,indv_response,correct_response,indv_responded_correctly,rt_individual,indv_stim_order,group_choice,grp_responded_correctly,decision_count,group_rt,both_agree,mean_social_dominance,mean_aggresive_dominance,grp_correct
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,12,3,p3p5,dominant,Non-conflict,Hard,52.0,62,Left,Right,False,3725.4,20:23,Right,,3,1163.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,13,3,p2p3,dominant,Conflict,Easy,51.0,41,Right,Right,True,3694.0,20:27,Left,,5,2251.8,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,14,3,p3p5,submissive,Conflict,Easy,60.0,99,Right,Right,True,1341.1,20:27,Right,,14,3627.4,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,15,3,p3p6,dominant,Non-conflict,Hard,51.0,95,Left,Left,True,3048.8,34:30,Right,,2,1685.2,0,4.625,3.2857142857142856,False
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,16,3,p3p4,submissive,Non-conflict,Easy,55.0,90,Right,Right,True,2786.2,20:27,Right,,1,443.8,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,17,3,p3p4,submissive,Non-conflict,Hard,49.0,92,Left,Left,True,962.6,34:30,Left,,2,2942.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,18,3,p3p6,submissive,Conflict,Easy,96.0,94,Right,Right,True,2858.3,30:40,Right,,3,1261.7,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,19,3,p3p5,dominant,Conflict,Easy,55.0,92,Right,Right,True,1725.0,30:40,Left,,9,3026.0,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,20,3,p1p3,dominant,Conflict,Easy,88.0,51,Left,Left,True,2460.5,40:30,Left,,1,1574.6,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,21,3,p1p3,submissive,Conflict,Easy,70.0,90,Right,Right,True,3043.3,20:27,Right,,2,2236.0,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,22,3,p3p4,submissive,Conflict,Easy,73.0,89,Left,Left,True,2937.2,27:20,Left,,4,2641.6,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,23,3,p2p3,dominant,Non-conflict,Easy,61.0,52,Left,Left,True,2173.5,27:20,Left,,1,483.6,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,24,3,p2p3,submissive,Conflict,Easy,62.0,63,Right,Right,True,2805.9,30:40,Right,,2,2673.9,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,25,3,p2p3,submissive,Non-conflict,Hard,51.0,82,Right,Right,True,2774.6,30:34,Right,,1,862.8,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,26,3,p3p6,submissive,Non-conflict,Hard,52.0,51,Right,Right,True,2639.6,20:23,Right,,3,4941.1,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,27,3,p2p3,submissive,Non-conflict,Easy,75.0,98.0,Left,Left,True,2243.8,27:20,Left,,1,2622.4,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,28,3,p3p4,dominant,Non-conflict,Easy,53.0,98,Left,Left,True,1111.3,40:30,Left,,1,629.9,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,29,3,p2p3,dominant,Non-conflict,Hard,81.0,71,Right,Right,True,2779.6,30:34,Right,,1,1586.5,1,4.625,3.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,660ed1f7c71608f174d2f3b3,ek32fbjq,30,3,p3p6,dominant,Conflict,Easy,63.0,86,Left,Left,True,1655.2,40:30,Right,,7,2039.8,1,4.625,3.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,1,4,p4p6,submissive,Non-conflict,Easy,98.0,99,Left,Left,True,3283.5,40:30,Left,,1,3285.7,1,2.125,2.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,2,4,p2p4,dominant,Non-conflict,Easy,79.0,90.0,Right,Right,True,2479.7,30:40,Right,,1,3503.2,1,2.125,2.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,3,4,p2p4,submissive,Non-conflict,Easy,84.0,95,Left,Left,True,2137.8,27:20,Left,,1,9865.5,1,2.125,2.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,4,4,p1p4,dominant,Non-conflict,Easy,45.0,78,Right,Right,True,4778.4,30:40,Right,,1,988.1,1,2.125,2.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,5,4,p3p4,submissive,Conflict,Easy,63.0,54.0,Left,Left,True,2259.8,27:20,Left,,1,1143.7,1,2.125,2.2857142857142856,
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,6,4,p4p6,dominant,Non-conflict,Hard,33.0,47,Right,Right,True,2763.3,30:34,Right,,1,7569.0,1,2.125,2.2857142857142856,True
interactive_psychophysics,ct856ee4,mk:psyphysical_main:1,666db47c26bc80222f8b15ba,aih7jisp,7,4,p4p6,submissive,Non-conflict,Hard,11.0,10,Left,Left,True,2080.7,34:30,Left,,1,3886.9,1,2.125,2.2857142857142856,True
